1;La dolce vita;Fedez, Tananai e Mara Sattei;Pop;2022
2;Caramello;Rocco Hunt, Elettra Lamborghini, Lola Indigo;Reggaeton;2022
3;Giovani Wannabe;Pinguini Tattici Nucleari;Pop;2022
4;Tribale;Elodie;Pop;2022
5;Tropicana;Boomdabash e Annalisa;Pop;2022
6;Bolero;Baby K feat. Mika;Pop;2022
7;Litoranea;Elisa e Matilda De Angelis;Pop;2022
8;Una ragazza;Malika Ayane;Pop;2022
9;Stelle;Fabri Fibra, Maurizio Carucci;Pop;2022
10;Gasolina;Anna;Pop;2022
11;Shakerando;Rhove;Pop;2022
12;Finimondo;Myss Keta;Pop;2022
13;Extasi;Fred De Palma;Pop;2022
14;About damn time;Lizzo;Pop;2022
15;Don't you worry;Black Eyed Peas, Shakira, David Guetta;Dance;2022
16;As it was;Harry Styles;Indie;2022
17;Provenza;Karol G;Pop;2022
